"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2023,202301,8930,2023000352446,2916.0,2023000089301,230001,1,2,1620.0,1,2,55,1,6,600,0,0,8,81,1,10,70000,1,11
2023,202301,9254,2023000375401,14580.0,2023000092541,130101,1,1,14580.0,3,2,60,1,1,100,0,0,8,81,1,10,60000,1,11
2023,202301,9254,2023000375401,14580.0,2023000092541,130101,1,3,16848.0,0,1,26,2,1,100,0,0,8,81,1,10,38000,1,11
2023,202301,10064,2023000431488,4374.0,2023000100641,230001,1,1,4374.0,1,1,37,6,2,200,0,0,7,71,1,10,0,1,11
2023,202301,10226,2023000442044,56052.0,2023000102261,140201,1,1,56052.0,3,2,41,3,1,100,0,0,10,101,1,10,60000,1,11
2023,202301,10388,2023000452140,18306.0,2023000103881,140201,1,1,18306.0,0,1,21,6,2,200,0,0,6,65,1,10,20000,1,11
2023,202301,10550,2023000463968,16038.0,2023000105501,40101,1,1,16038.0,0,1,58,4,1,100,0,0,10,101,1,10,176000,1,11
2023,202301,10874,2023000485591,45036.0,2023000108741,140201,1,1,45036.0,0,1,53,4,1,100,0,0,8,81,1,10,80000,1,11
2023,202301,11036,2023000494547,9558.0,2023000110361,40301,1,1,9396.0,2,2,42,1,1,100,0,0,11,114,1,10,135000,2,20
2023,202301,11036,2023000494547,9558.0,2023000110361,40301,1,2,5022.0,2,1,53,1,8,822,0,0,7,71,1,10,165000,2,20
2023,202301,11198,2023000505446,29808.0,2023000111981,120101,1,1,29808.0,1,2,27,1,1,100,0,0,10,101,1,10,37000,1,11
2023,202301,11198,2023000505446,29808.0,2023000111981,120101,1,2,23490.0,1,1,28,1,1,100,0,0,10,101,1,10,70000,1,11
2023,202301,11522,2023000525538,13608.0,2023000115221,180101,1,1,13446.0,0,2,61,4,1,100,0,0,10,101,1,10,30000,1,11
2023,202301,11684,2023000536796,6156.0,2023000116841,120101,1,1,6156.0,1,1,39,1,1,100,0,0,7,71,1,10,50000,1,11
2023,202301,11684,2023000536796,6156.0,2023000116841,120101,1,2,7776.0,1,2,35,1,1,100,0,0,11,114,1,12,45000,1,11
2023,202301,11846,2023000548287,9396.0,2023000118461,280101,1,1,9396.0,0,2,48,1,1,100,0,0,6,64,1,10,25000,1,11
2023,202301,11846,2023000548287,9396.0,2023000118461,280101,1,2,9396.0,0,1,49,1,1,100,0,0,6,64,1,10,120000,2,20
2023,202301,12008,2023000559050,8586.0,2023000120081,230001,1,2,8910.0,0,2,64,4,8,812,0,0,8,81,1,10,8300,1,11
2023,202301,12170,2023000569938,11664.0,2023000121701,40301,1,1,11664.0,0,1,57,1,1,100,0,0,11,115,1,10,480000,1,11
2023,202301,12818,2023000612680,47790.0,2023000128181,150101,1,1,47790.0,0,1,31,6,1,100,0,0,6,63,1,10,52000,2,20
2023,202301,12980,2023000623064,11664.0,2023000129801,10001,1,1,11826.0,2,1,41,1,1,100,0,0,8,81,1,10,180000,1,11
2023,202301,12980,2023000623064,11664.0,2023000129801,10001,1,2,15714.0,2,2,42,1,1,100,0,0,11,114,1,10,60000,1,11
2023,202301,13142,2023000633724,134136.0,2023000131421,120201,1,1,134136.0,0,1,23,6,2,200,0,0,10,101,1,10,18500,1,11
2023,202301,13304,2023000644087,13122.0,2023000133041,30001,1,1,13122.0,0,1,57,1,1,100,0,0,11,115,1,10,480000,1,11
2023,202301,13466,2023000654400,12474.0,2023000134661,280201,1,1,12474.0,2,2,32,6,1,100,0,0,4,40,1,10,26000,1,11
2023,202301,13466,2023000654400,12474.0,2023000134661,280201,1,4,20412.0,0,1,29,6,1,100,0,0,6,63,1,10,16900,1,11
2023,202301,13466,2023000654400,12474.0,2023000134661,280201,1,5,14904.0,2,1,53,4,1,100,0,0,6,63,1,10,32000,1,11
2023,202301,13952,2023000687947,1944.0,2023000139521,50101,1,1,1944.0,0,1,37,4,1,100,0,0,8,81,1,10,69000,1,11
2023,202301,14114,2023000698677,6156.0,2023000141141,110001,1,1,6318.0,0,1,58,1,1,100,0,0,6,63,1,10,96000,1,11
2023,202301,14276,2023000712171,14094.0,2023000142761,120201,1,1,14256.0,0,2,49,6,8,826,0,0,11,114,1,10,50000,1,11
2023,202301,14438,2023000722894,18144.0,2023000144381,140301,1,1,18144.0,0,2,25,1,1,100,0,0,10,101,1,10,40000,1,11
2023,202301,14438,2023000722894,18144.0,2023000144381,140301,1,2,16038.0,0,1,26,1,1,100,0,0,10,101,1,10,70000,1,11
2023,202301,14600,2023000733796,19440.0,2023000146001,270201,1,1,19440.0,0,2,65,4,1,100,0,0,6,63,1,10,27000,1,11
2023,202301,14762,2023000745494,30780.0,2023000147621,40201,1,3,53460.0,0,1,25,6,2,200,0,0,7,71,1,10,18700,2,20
2023,202301,14924,2023000757106,2430.0,2023000149241,60001,1,1,2430.0,2,1,24,6,1,100,0,0,6,64,1,10,40000,1,11
2023,202301,15248,2023000777663,30294.0,2023000152481,280301,1,1,30294.0,0,1,63,1,8,826,4,450,10,101,1,10,47800,1,11
2023,202301,15248,2023000777663,30294.0,2023000152481,280301,1,2,12636.0,0,2,62,1,1,100,0,0,11,114,1,10,53000,1,11
2023,202301,15572,2023000799900,1782.0,2023000155721,50101,1,1,1782.0,0,1,32,1,1,100,0,0,7,71,1,10,24000,1,11
2023,202301,15572,2023000799900,1782.0,2023000155721,50101,1,2,1782.0,0,2,25,1,1,100,0,0,6,63,1,10,23000,1,11
2023,202301,15734,2023000810272,7776.0,2023000157341,160001,1,1,7776.0,1,2,54,1,1,100,0,0,8,81,1,10,114000,1,11
2023,202301,15734,2023000810272,7776.0,2023000157341,160001,1,10,3240.0,6,1,36,1,1,100,0,0,6,63,1,10,90000,1,11
2023,202301,15896,2023000821691,3726.0,2023000158961,240001,1,1,3888.0,0,2,63,4,1,100,0,0,8,81,1,10,2400,1,11
2023,202301,16058,2023000832981,8100.0,2023000160581,180201,1,3,12312.0,0,1,52,6,1,100,0,0,11,116,1,10,31000,1,11
2023,202301,16220,2023000844047,19278.0,2023000162201,260001,1,2,43902.0,0,2,54,5,2,200,0,0,6,63,1,12,25000,1,11
2023,202301,16382,2023000855093,3240.0,2023000163821,270201,1,4,5184.0,0,1,18,6,1,100,0,0,5,50,1,10,3000,1,11
2023,202301,16868,2023000888236,18630.0,2023000168681,140201,1,1,18630.0,0,1,62,1,1,100,0,0,7,71,1,10,150000,1,11
2023,202301,16868,2023000888236,18630.0,2023000168681,140201,1,2,17334.0,0,2,59,1,1,100,0,0,7,71,1,10,55000,1,11
2023,202301,17030,2023000898753,5670.0,2023000170301,100001,1,2,5346.0,1,2,64,1,1,100,0,0,4,40,1,10,3700,1,11
2023,202301,17030,2023000898753,5670.0,2023000170301,100001,1,3,9072.0,1,2,47,4,1,100,0,0,6,64,1,10,23000,1,11
2023,202301,17192,2023000910385,20898.0,2023000171921,40201,1,1,20898.0,0,1,59,1,2,200,0,0,11,116,1,10,156000,2,20
2023,202301,17192,2023000910385,20898.0,2023000171921,40201,1,2,23652.0,0,2,55,1,2,200,0,0,6,64,1,10,28600,1,11
2023,202301,17354,2023000920983,10854.0,2023000173541,40301,1,1,11016.0,0,1,62,1,1,100,0,0,4,40,1,10,30000,1,11
2023,202301,17354,2023000920983,10854.0,2023000173541,40301,1,2,10044.0,0,2,60,1,1,100,0,0,7,71,1,10,48000,1,11
2023,202301,17516,2023000932156,12474.0,2023000175161,40101,1,2,17820.0,0,2,19,6,2,200,0,0,6,63,1,10,7000,1,11
2023,202301,17678,2023000942135,16200.0,2023000176781,140401,1,1,16362.0,1,1,40,1,1,100,0,0,11,114,1,10,105000,1,11
2023,202301,17678,2023000942135,16200.0,2023000176781,140401,1,2,18468.0,1,2,37,1,1,100,0,0,10,101,1,10,120000,1,11
2023,202301,17840,2023000952626,65124.0,2023000178401,140301,1,1,65286.0,0,1,27,6,1,100,0,0,10,101,1,10,10000,1,11
2023,202301,18164,2023000974704,3726.0,2023000181641,110001,1,1,3726.0,3,1,26,1,1,100,0,0,8,81,1,10,42000,1,11
2023,202301,18164,2023000974704,3726.0,2023000181641,110001,1,2,7776.0,3,2,25,1,1,100,0,0,8,81,1,10,12000,1,11
2023,202301,18488,2023000997426,4050.0,2023000184881,230001,1,1,3888.0,2,2,35,1,1,100,0,0,6,63,1,10,30000,1,11
2023,202301,18488,2023000997426,4050.0,2023000184881,230001,1,2,3726.0,2,1,35,1,2,200,0,0,10,101,1,10,58000,1,11
2023,202301,18812,2023001018777,24138.0,2023000188121,140401,1,2,25920.0,0,1,49,1,1,100,0,0,10,101,1,10,480000,1,11
2023,202301,19298,2023001053491,83592.0,2023000192981,140101,1,1,83430.0,2,2,45,1,2,200,0,0,11,116,1,10,57000,1,11
2023,202301,19298,2023001053491,83592.0,2023000192981,140101,1,2,62046.0,2,1,47,1,2,200,0,0,11,116,1,10,480000,1,11
2023,202301,19784,2023001088241,11664.0,2023000197841,130101,1,1,11826.0,0,1,26,1,1,100,0,0,8,81,1,10,58000,1,11
2023,202301,19784,2023001088241,11664.0,2023000197841,130101,1,2,12798.0,0,2,24,1,1,100,0,0,10,101,1,10,65000,1,11
2023,202301,19946,2023001100448,7452.0,2023000199461,130101,1,2,11664.0,4,1,44,1,2,200,0,0,6,63,1,10,27000,1,11
2023,202301,20108,2023001110557,4860.0,2023000201081,170001,1,1,4860.0,0,2,63,6,2,200,0,0,6,63,1,10,480000,1,11
2023,202301,20270,2023001123553,8748.0,2023000202701,90001,1,2,9558.0,5,1,37,1,1,100,1,100,5,50,1,10,200000,1,11
2023,202301,20432,2023001135233,1296.0,2023000204321,60001,1,2,1296.0,1,2,63,6,7,700,1,100,10,101,1,10,42000,1,11
2023,202301,20432,2023001135233,1296.0,2023000204321,60001,1,3,810.0,0,1,19,6,7,700,1,100,0,2,1,10,0,1,11
2023,202301,20918,2023001171467,97686.0,2023000209181,270201,1,2,115020.0,1,1,22,6,1,100,0,0,6,63,1,10,20000,1,11
2023,202301,21242,2023001193024,21384.0,2023000212421,210101,1,1,21546.0,0,1,40,4,1,100,0,0,7,71,1,10,35000,2,20
2023,202301,21404,2023001204985,23490.0,2023000214041,220101,1,1,23490.0,2,1,42,1,1,100,0,0,6,63,1,10,47000,1,11
2023,202301,21404,2023001204985,23490.0,2023000214041,220101,1,2,21546.0,2,2,40,1,1,100,0,0,11,114,1,10,62000,1,11
2023,202301,21566,2023001216478,2916.0,2023000215661,250001,1,1,3078.0,0,1,41,6,1,100,0,0,6,63,1,10,19600,1,11
2023,202301,22052,2023001248045,12312.0,2023000220521,140401,1,2,11016.0,0,1,40,1,1,100,0,0,10,101,1,10,100000,1,11
2023,202301,22214,2023001257738,10368.0,2023000222141,40201,1,1,10368.0,1,1,36,1,6,610,0,0,11,116,1,10,80000,1,11
2023,202301,22214,2023001257738,10368.0,2023000222141,40201,1,2,16200.0,1,2,35,1,6,610,0,0,11,114,1,10,21000,1,11
2023,202301,22376,2023001267479,8262.0,2023000223761,140401,1,1,8100.0,0,1,60,1,1,100,0,0,11,116,1,10,180000,1,11
2023,202301,22376,2023001267479,8262.0,2023000223761,140401,1,2,6318.0,0,2,51,1,6,620,0,0,11,116,1,10,100000,1,11
2023,202301,22538,2023001278683,13932.0,2023000225381,180201,1,1,13932.0,0,2,63,6,2,200,0,0,10,101,1,10,14000,1,11
2023,202301,22700,2023001290225,11016.0,2023000227001,130101,1,1,11016.0,0,2,21,6,1,100,0,0,7,71,1,10,28000,1,11
2023,202301,22700,2023001290225,11016.0,2023000227001,130101,1,2,7776.0,0,1,20,6,1,100,0,0,6,63,1,10,40000,1,13
2023,202301,23024,2023001313777,19116.0,2023000230241,40101,1,1,19116.0,1,2,24,1,1,100,0,0,10,101,1,10,75000,1,11
2023,202301,23024,2023001313777,19116.0,2023000230241,40101,1,2,24300.0,1,1,24,1,1,100,0,0,10,101,1,10,60000,1,11
2023,202301,23186,2023001325737,3564.0,2023000231861,190101,1,1,3402.0,0,1,51,1,1,100,0,0,11,116,1,10,7500,2,20
2023,202301,23348,2023001336404,12798.0,2023000233481,150201,1,4,8262.0,0,2,37,6,1,100,0,0,6,64,1,10,23000,1,11
2023,202301,23510,2023001346925,14742.0,2023000235101,280301,1,1,14742.0,1,2,48,1,2,200,0,0,11,114,1,10,68000,1,11
2023,202301,23510,2023001346925,14742.0,2023000235101,280301,1,2,14094.0,1,1,50,1,2,200,0,0,6,63,1,10,25000,1,11
2023,202301,23672,2023001356779,13284.0,2023000236721,130101,1,1,13284.0,0,2,23,6,1,100,0,0,10,101,1,10,35000,1,11
2023,202301,23672,2023001356779,13284.0,2023000236721,130101,1,2,6318.0,0,1,27,6,6,685,0,0,8,81,1,10,28000,1,11
2023,202301,24158,2023001387767,2916.0,2023000241581,230001,1,1,2916.0,0,1,38,6,1,100,0,0,6,64,1,10,105000,1,11
2023,202301,24158,2023001387767,2916.0,2023000241581,230001,1,2,4050.0,0,2,37,6,1,100,0,0,6,64,1,10,86000,1,11
2023,202301,24158,2023001387767,2916.0,2023000241581,230001,1,3,2916.0,0,1,39,4,1,100,0,0,6,65,1,10,35000,1,11
2023,202301,24482,2023001408841,40662.0,2023000244821,40301,1,1,40662.0,0,1,62,1,1,100,0,0,7,71,1,12,75000,1,11
2023,202301,24968,2023001441950,23004.0,2023000249681,270201,1,1,22842.0,3,2,38,1,1,100,0,0,11,114,1,10,480000,1,11
2023,202301,24968,2023001441950,23004.0,2023000249681,270201,1,2,29160.0,3,1,39,1,1,100,0,0,6,63,1,10,48500,2,20
2023,202301,25292,2023010016644,1134.0,2023000252921,40002,4,1,1134.0,0,1,59,6,1,100,0,0,6,64,1,10,20000,1,13
2023,202301,25616,2023010114148,9720.0,2023000256161,40002,4,1,9720.0,0,1,50,4,2,200,0,0,6,63,1,10,57000,1,11
2023,202301,25940,2023000050756,11178.0,2023000259401,20002,1,1,11178.0,0,1,38,4,1,100,0,0,6,63,1,10,0,1,11
2023,202301,26102,2023000157095,16038.0,2023000261021,10102,1,1,16038.0,0,2,45,6,2,200,0,0,6,65,1,10,76000,1,11
2023,202301,26102,2023000157095,16038.0,2023000261021,10102,1,2,14580.0,0,1,38,6,3,398,0,0,6,63,1,10,50000,1,11
2023,202301,26264,2023000256428,4050.0,2023000262641,40002,1,1,4050.0,2,2,34,1,6,600,0,0,10,101,1,10,32000,1,11
2023,202301,26426,2023000342805,74844.0,2023000264261,10202,1,1,74844.0,1,1,56,1,1,100,0,0,11,116,1,10,160000,1,11
2023,202301,26426,2023000342805,74844.0,2023000264261,10202,1,2,51030.0,1,2,53,1,8,802,0,0,10,101,1,10,48700,1,11
2023,202301,26426,2023000342805,74844.0,2023000264261,10202,1,3,75654.0,0,1,26,6,1,100,0,0,7,71,1,10,12000,1,11
2023,202301,26588,2023000441189,34992.0,2023000265881,10202,1,1,34992.0,2,1,40,1,1,100,0,0,10,101,1,10,260000,1,11
2023,202301,26588,2023000441189,34992.0,2023000265881,10202,1,2,26892.0,2,2,36,1,1,100,0,0,8,81,1,10,35000,1,11
2023,202301,26912,2023000644670,5832.0,2023000269121,40002,1,1,5832.0,3,2,63,5,3,381,0,0,6,63,1,10,89000,1,11
2023,202301,26912,2023000644670,5832.0,2023000269121,40002,1,2,1620.0,1,1,39,6,3,381,0,0,6,63,1,10,60,1,11
2023,202301,26912,2023000644670,5832.0,2023000269121,40002,1,3,2106.0,5,2,27,6,3,381,0,0,6,64,1,10,32900,1,11
2023,202301,27236,2023000850044,7614.0,2023000272361,20002,1,2,4698.0,1,2,60,1,1,100,0,0,8,81,1,10,50000,1,11
2023,202301,27236,2023000850044,7614.0,2023000272361,20002,1,3,6318.0,0,1,28,6,1,100,0,0,6,63,1,10,18000,1,11
2023,202301,27398,2023000940782,2916.0,2023000273981,40002,1,2,3888.0,3,2,59,1,3,381,0,0,6,63,1,10,21600,1,11
2023,202301,27722,2023001134126,24786.0,2023000277221,20002,1,1,24786.0,0,1,34,6,1,100,0,0,5,50,1,10,83000,1,11
2023,202301,27722,2023001134126,24786.0,2023000277221,20002,1,2,26082.0,0,2,31,6,1,100,0,0,6,63,1,10,23800,1,11
2023,202301,27884,2023001222470,21546.0,2023000278841,30002,1,1,21384.0,1,2,19,6,1,100,0,0,6,63,1,10,30000,1,11
2023,202301,27884,2023001222470,21546.0,2023000278841,30002,1,2,76140.0,1,1,34,4,1,100,0,0,6,63,1,10,30000,1,11
2023,202301,28046,2023001322474,3402.0,2023000280461,40002,1,1,3564.0,2,1,39,1,1,100,0,0,10,101,1,10,40000,2,20
2023,202301,28046,2023001322474,3402.0,2023000280461,40002,1,2,3564.0,2,2,40,1,1,100,0,0,6,63,1,10,0,1,11
2023,202301,28532,2023010010883,10692.0,2023000285321,12604,4,1,10692.0,0,2,19,6,1,100,0,0,6,65,1,10,2500,1,11
2023,202301,28694,2023010017625,7938.0,2023000286941,12504,4,1,7938.0,0,2,18,6,1,100,1,100,6,65,1,10,1500,1,11
2023,202301,29180,2023010038043,9396.0,2023000291801,10904,4,1,9396.0,0,2,21,6,1,100,0,0,7,71,1,12,2400,1,11
2023,202301,29342,2023010044741,9072.0,2023000293421,50004,4,1,9072.0,0,1,19,6,1,100,1,100,7,71,1,10,10600,1,11
2023,202301,30314,2023010089598,9072.0,2023000303141,50004,4,1,9072.0,0,2,18,6,1,100,0,0,6,65,1,12,16300,1,11
2023,202301,31448,2023010140601,1296.0,2023000314481,250204,4,1,1296.0,0,1,19,6,6,600,0,0,7,71,1,10,5000,1,11
2023,202301,31772,2023010154318,9234.0,2023000317721,12204,4,1,9234.0,0,1,22,6,1,100,0,0,7,71,1,10,12000,1,11
2023,202301,31934,2023010160728,1458.0,2023000319341,12004,4,1,1458.0,0,1,37,6,1,100,0,0,7,71,1,10,0,2,20
2023,202301,32258,2023010173993,12150.0,2023000322581,12204,4,1,12150.0,0,2,20,6,8,811,0,0,7,71,1,10,3500,1,11
2023,202301,32420,2023000005067,9396.0,2023000324201,10504,1,1,9558.0,1,2,46,1,6,600,0,0,11,116,1,10,559000,1,11
2023,202301,32582,2023000014336,54918.0,2023000325821,10104,1,3,57024.0,1,2,46,6,7,700,1,100,2,23,1,10,45000,1,11
2023,202301,32906,2023000030378,13770.0,2023000329061,10104,1,2,16362.0,1,1,37,1,1,100,0,0,8,81,1,14,72000,1,12
2023,202301,33068,2023000037710,11016.0,2023000330681,80704,1,1,11178.0,0,1,39,4,1,100,0,0,6,63,1,10,36000,1,11
2023,202301,33392,2023000053959,51354.0,2023000333921,11904,1,1,51354.0,0,2,64,6,1,100,0,0,11,114,1,10,70000,1,11
2023,202301,33716,2023000068083,7938.0,2023000337161,12004,1,1,7776.0,0,2,54,1,1,100,0,0,10,101,1,10,100000,1,11
2023,202301,33716,2023000068083,7938.0,2023000337161,12004,1,2,7938.0,0,1,53,1,1,100,0,0,10,101,1,10,165000,1,11
2023,202301,33878,2023000075682,20250.0,2023000338781,100004,1,1,20250.0,2,1,31,6,3,361,0,0,6,63,1,10,14000,1,11
2023,202301,33878,2023000075682,20250.0,2023000338781,100004,1,2,29970.0,2,2,33,6,3,361,0,0,6,61,1,10,12000,1,11
2023,202301,34040,2023000084387,14580.0,2023000340401,12904,1,1,14418.0,0,2,64,4,1,100,0,0,7,71,1,10,42000,1,11
2023,202301,34364,2023000099827,11664.0,2023000343641,190504,1,1,11664.0,0,1,47,1,1,100,0,0,10,101,1,10,120000,1,11
2023,202301,34364,2023000099827,11664.0,2023000343641,190504,1,2,8586.0,0,2,48,1,1,100,0,0,10,101,1,10,125000,1,11
2023,202301,34526,2023000108146,12150.0,2023000345261,11604,1,1,12150.0,0,1,44,6,1,100,0,0,7,71,1,10,65000,1,11
2023,202301,34850,2023000123401,12798.0,2023000348501,11604,1,1,12798.0,0,1,42,6,1,100,0,0,10,101,1,10,250000,1,11
2023,202301,34850,2023000123401,12798.0,2023000348501,11604,1,2,12798.0,0,1,40,6,1,100,0,0,10,101,1,10,75000,1,11
2023,202301,35012,2023000131433,9720.0,2023000350121,190204,1,1,9720.0,0,1,51,4,1,100,0,0,7,71,1,10,46000,1,11
2023,202301,35012,2023000131433,9720.0,2023000350121,190204,1,2,10206.0,0,2,54,6,1,100,0,0,7,71,1,10,18000,1,11
2023,202301,35336,2023000146356,7938.0,2023000353361,10104,1,1,7938.0,1,2,56,5,1,100,0,0,6,64,1,10,80000,1,11
2023,202301,35336,2023000146356,7938.0,2023000353361,10104,1,2,8748.0,1,1,38,6,8,826,0,0,6,63,1,10,60000,1,11
2023,202301,35336,2023000146356,7938.0,2023000353361,10104,1,3,7452.0,0,2,56,4,1,100,0,0,7,71,1,10,70000,1,11
2023,202301,35336,2023000146356,7938.0,2023000353361,10104,1,5,7938.0,0,2,33,6,1,100,0,0,6,63,1,10,4800,1,11
2023,202301,35498,2023000155300,5670.0,2023000354981,11004,1,1,5832.0,0,1,40,6,3,381,0,0,11,114,1,10,0,1,11
2023,202301,35498,2023000155300,5670.0,2023000354981,11004,1,2,4050.0,1,2,63,4,3,381,0,0,8,81,1,12,27000,1,11
2023,202301,35822,2023000171171,13284.0,2023000358221,12904,1,1,13284.0,2,1,35,1,1,100,0,0,11,114,1,10,78000,1,11
2023,202301,35822,2023000171171,13284.0,2023000358221,12904,1,2,12150.0,2,2,34,1,1,100,0,0,11,114,1,10,65000,1,11
2023,202301,35984,2023000179682,15552.0,2023000359841,190304,1,2,14742.0,2,2,39,6,1,100,0,0,6,63,1,10,42000,1,11
2023,202301,35984,2023000179682,15552.0,2023000359841,190304,1,5,16362.0,0,2,40,6,1,100,1,100,6,63,1,10,33000,1,11
2023,202301,36308,2023000196013,13284.0,2023000363081,50004,1,1,13122.0,0,1,26,6,1,100,0,0,7,71,1,10,32000,1,11
2023,202301,36308,2023000196013,13284.0,2023000363081,50004,1,2,6966.0,0,1,26,6,1,100,0,0,10,101,1,10,28000,1,11
2023,202301,36632,2023000213143,10206.0,2023000366321,10204,1,1,10206.0,3,1,44,1,1,100,0,0,11,115,1,10,559000,2,20
2023,202301,36632,2023000213143,10206.0,2023000366321,10204,1,3,9396.0,0,1,18,6,1,100,0,0,6,63,1,10,4000,1,11
